koodi;nimike;nimike_pitka
SSS;Koko maa;Koko maa
01;Uusimaa;Uudenmaan maakunta
02;Varsinais-Suomi;Varsinais-Suomen maakunta
04;Satakunta;Satakunnan maakunta
05;Kanta-Häme;Kanta-Hämeen maakunta
06;Pirkanmaa;Pirkanmaan maakunta
07;Päijät-Häme;Päijät-Hämeen maakunta
08;Kymenlaakso;Kymenlaakson maakunta
09;Etelä-Karjala;Etelä-Karjalan maakunta
10;Etelä-Savo;Etelä-Savon maakunta
11;Pohjois-Savo;Pohjois-Savon maakunta
12;Pohjois-Karjala;Pohjois-Karjalan maakunta
13;Keski-Suomi;Keski-Suomen maakunta
14;Etelä-Pohjanmaa;Etelä-Pohjanmaan maakunta
15;Pohjanmaa;Pohjanmaan maakunta
16;Keski-Pohjanmaa;Keski-Pohjanmaan maakunta
17;Pohjois-Pohjanmaa;Pohjois-Pohjanmaan maakunta
18;Kainuu;Kainuun maakunta
19;Lappi;Lapin maakunta
21;Ahvenanmaa - Åland;Ahvenanmaan maakunta
